,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'10ft iPHone Charger Cable 2 Pack'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.05052659645380616,0.23836821757099053,0.023063591521130515,0.45646437994722955,1.9149548735929356,1.0,0.01101965678450801,1.4012545900028865,0.5032205021321218,0.08676028084252758,0.2863538095543793,0.2766102660362546
1,frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'10ft iPHone Charger Cable 2 Pack'}),0.23836821757099053,0.05052659645380616,0.023063591521130515,0.09675615212527965,1.9149548735929356,1.0,0.01101965678450801,1.051181700025136,0.6273300220873396,0.08676028084252758,0.048689679456855185,0.2766102660362546
2,frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Anker USB C to HDMI Adapter'}),0.23836821757099053,0.06839088121583789,0.024396747100386616,0.10234899328859061,1.4965298219448697,1.0,0.008094534646858002,1.0378299715801134,0.4356271144614096,0.08640226628895187,0.036451030145637976,0.2295370697437105
3,frozenset({'Anker USB C to HDMI Adapter'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.06839088121583789,0.23836821757099053,0.024396747100386616,0.3567251461988304,1.4965298219448695,1.0,0.008094534646858002,1.1839912254123692,0.35614449125902026,0.08640226628895187,0.15539914609442093,0.2295370697437105
4,frozenset({'Anker USB C to HDMI Adapter'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.06839088121583789,0.17411011865084655,0.020930542594320756,0.3060428849902534,1.7577547322449394,1.0,0.009022998151195267,1.1901165986857183,0.46273958268770116,0.09446450060168471,0.15974619536915105,0.21312864004489698
5,frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Anker USB C to HDMI Adapter'}),0.17411011865084655,0.06839088121583789,0.020930542594320756,0.12021439509954057,1.7577547322449392,1.0,0.009022998151195267,1.0589047076867848,0.5219732370979266,0.09446450060168471,0.05562795902141583,0.21312864004489698
6,frozenset({'Apple Pencil'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.17970937208372217,0.0871883748833489,0.02879616051193174,0.1602373887240356,1.8378297443715457,1.0,0.013127592408644938,1.0869876949268955,0.5557541939794498,0.1209406494960806,0.08002638422944222,0.24525630904091686
7,frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'Apple Pencil'}),0.0871883748833489,0.17970937208372217,0.02879616051193174,0.33027522935779813,1.8378297443715457,1.0,0.013127592408644938,1.224817512916086,0.49942391639485245,0.1209406494960806,0.18355184388312104,0.24525630904091686
8,frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.23836821757099053,0.0871883748833489,0.024396747100386616,0.10234899328859061,1.1738834841861132,1.0,0.0036138095865314197,1.0168892122794844,0.19448597245855717,0.08100929614873839,0.016608704346095824,0.19108275352502924
9,frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.0871883748833489,0.23836821757099053,0.024396747100386616,0.2798165137614679,1.1738834841861134,1.0,0.0036138095865314197,1.057552411270854,0.16227520967660833,0.08100929614873839,0.054420386788862345,0.19108275352502924
10,frozenset({'USB 2.0 Printer cable'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.1709105452606319,0.0871883748833489,0.021997067057725635,0.12870514820592824,1.4761732671141707,1.0,0.007095654366024093,1.0476495106531305,0.3890686897922787,0.09316770186335405,0.04548230125495365,0.1904993630937898
11,frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'USB 2.0 Printer cable'}),0.0871883748833489,0.1709105452606319,0.021997067057725635,0.25229357798165136,1.4761732671141707,1.0,0.007095654366024093,1.1088435652342468,0.3533836982354581,0.09316770186335405,0.09815953182832722,0.1904993630937898
12,frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.17411011865084655,0.0871883748833489,0.021463804826023197,0.12327718223583461,1.4139176513012162,1.0,0.006283426530108832,1.0411633034081629,0.35446036926192726,0.08949416342412451,0.03953587614298165,0.18472727613320783
13,frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.0871883748833489,0.17411011865084655,0.021463804826023197,0.24617737003058102,1.4139176513012162,1.0,0.006283426530108832,1.0956023983820413,0.32070716920952813,0.08949416342412451,0.08726012148496985,0.18472727613320783
